index,room,start_time,end_time,epoch
0,140,1395,1510,1
1,140,1790,1905,1
2,150,790,905,1
3,150,1185,1300,1
4,160,1785,1900,1
5,160,1500,1615,1
6,160,1425,1540,1
7,155,1630,1745,1
8,155,1295,1410,1
9,145,1365,1480,1
10,155,1085,1200,1
11,260,1670,1720,1
12,145,1525,1640,1
13,230,1430,1545,1
14,230,1590,1705,1
15,230,1765,1880,1
16,140,1185,1300,1
17,140,1520,1635,1
18,150,1655,1770,1
19,145,820,935,1
20,145,1050,1165,1
21,145,1185,1300,1
22,240,800,915,1
23,240,1045,1160,1
24,240,1300,1415,1
25,140,700,815,1
26,140,945,1060,1
27,140,1095,1210,1
28,155,850,965,1
29,160,1055,1170,1
30,160,1235,1350,1
31,155,1425,1540,1
32,150,1250,1300,1
33,130,1205,1320,1
34,130,1450,1565,1
35,130,1395,1510,1
36,240,1500,1615,1
37,230,800,915,1
38,230,1220,1335,1
39,230,1305,1420,1
40,150,1530,1645,1
41,150,1500,1615,1
42,130,925,1040,1
43,130,1015,1130,1
44,130,1130,1245,1
0,140,1395,1510,2
1,140,1710,1825,2
2,150,950,1065,2
3,150,1110,1225,2
4,160,1715,1830,2
5,160,1470,1585,2
6,160,1595,1710,2
7,155,1635,1750,2
8,155,1220,1335,2
9,145,1330,1445,2
10,155,1050,1165,2
11,260,1655,1705,2
12,145,1565,1680,2
13,230,1405,1520,2
14,230,1535,1650,2
15,230,1665,1780,2
16,140,1195,1310,2
17,140,1515,1630,2
18,150,1705,1820,2
19,145,800,915,2
20,145,1100,1215,2
21,145,1245,1360,2
22,240,1035,1150,2
23,240,1120,1235,2
24,240,1345,1460,2
25,140,780,895,2
26,140,935,1050,2
27,140,1095,1210,2
28,155,915,1030,2
29,160,1030,1145,2
30,160,1230,1345,2
31,155,1355,1470,2
32,150,1320,1370,2
33,130,1235,1350,2
34,130,1410,1525,2
35,130,1615,1730,2
36,240,1445,1560,2
37,230,1005,1120,2
38,230,1075,1190,2
39,230,1290,1405,2
40,150,1400,1515,2
41,150,1620,1735,2
42,130,795,910,2
43,130,955,1070,2
44,130,1070,1185,2
0,140,1385,1500,3
1,140,1710,1825,3
2,150,895,1010,3
3,150,1030,1145,3
4,160,1710,1825,3
5,160,1460,1575,3
6,160,1595,1710,3
7,155,1625,1740,3
8,155,1220,1335,3
9,145,1330,1445,3
10,155,1055,1170,3
11,260,1680,1730,3
12,145,1560,1675,3
13,230,1345,1460,3
14,230,1685,1800,3
15,230,1560,1675,3
16,140,1205,1320,3
17,140,1520,1635,3
18,150,1705,1820,3
19,145,790,905,3
20,145,1095,1210,3
21,145,1240,1355,3
22,240,800,915,3
23,240,1055,1170,3
24,240,1305,1420,3
25,140,780,895,3
26,140,925,1040,3
27,140,1090,1205,3
28,155,915,1030,3
29,160,1030,1145,3
30,160,1235,1350,3
31,155,1360,1475,3
32,150,1285,1335,3
33,130,1225,1340,3
34,130,1410,1525,3
35,130,1610,1725,3
36,240,1515,1630,3
37,230,890,1005,3
38,230,1035,1150,3
39,230,1180,1295,3
40,150,1345,1460,3
41,150,1445,1560,3
42,130,795,910,3
43,130,950,1065,3
44,130,1065,1180,3
0,140,1390,1505,4
1,140,1690,1805,4
2,150,950,1065,4
3,150,1130,1245,4
4,160,1700,1815,4
5,160,1285,1400,4
6,160,1570,1685,4
7,155,1615,1730,4
8,155,1215,1330,4
9,145,1375,1490,4
10,155,1055,1170,4
11,260,1635,1685,4
12,145,1525,1640,4
13,230,1355,1470,4
14,230,1695,1810,4
15,230,1570,1685,4
16,140,1190,1305,4
17,140,1520,1635,4
18,150,1690,1805,4
19,145,810,925,4
20,145,1050,1165,4
21,145,1175,1290,4
22,240,830,945,4
23,240,1040,1155,4
24,240,1245,1360,4
25,140,795,910,4
26,140,925,1040,4
27,140,1090,1205,4
28,155,910,1025,4
29,160,985,1100,4
30,160,1155,1270,4
31,155,1350,1465,4
32,150,1320,1370,4
33,130,1240,1355,4
34,130,1420,1535,4
35,130,1615,1730,4
36,240,1460,1575,4
37,230,885,1000,4
38,230,1045,1160,4
39,230,1185,1300,4
