index,room,start_time,end_time
0,140,1380,1495
1,140,1695,1810
2,150,960,1075
3,150,1125,1240
4,160,1710,1825
5,160,1290,1405
6,160,1560,1675
7,155,1640,1755
8,155,1265,1380
9,145,1360,1475
10,155,1080,1195
11,260,1620,1670
12,145,1540,1655
13,230,1345,1460
14,230,1710,1825
15,230,1550,1665
16,140,1215,1330
17,140,1540,1655
18,150,1705,1820
19,145,830,945
20,145,1055,1170
21,145,1200,1315
22,240,830,945
23,240,1065,1180
24,240,1220,1335
25,140,790,905
26,140,940,1055
27,140,1080,1195
28,155,865,980
29,160,995,1110
30,160,1135,1250
31,155,1420,1535
32,150,1300,1350
33,130,1235,1350
34,130,1440,1555
35,130,1625,1740
36,240,1430,1545
37,230,885,1000
38,230,1045,1160
39,230,1195,1310
40,150,1385,1500
41,150,1520,1635
42,130,790,905
43,130,935,1050
44,130,1070,1185
